text,label
"The anime that got me hooked on anime...<br /><br />Set in the year 2010 (hey, that's not too far away now!) the Earth is now poison gas wasteland of pollution and violence. Seeing as how crimes are happening ever 30 seconds are so and committed by thieves who have the fire power of third world terrorists, the government of the fictional New Port City form the Tank Police to deal with the problem - cops with tanks! Oh the insanity!<br /><br />The ""heroes"" of this series include the new recruit Leona Ozaki, a red haired Japanese woman (yeah I know, they never match their distinctly Japanese names with a Japanese appearance) who has just been drafted into the Tank Police and is quickly partnered with blond, blue eyed nice guy Al. Leona is new at using tanks and unfortunately she destroys the favorite tank of Tank Police Commander Charles Britain (also known as ""Brenten""), a big guy who looks like Tom Selleck on steroids and sporting a pair of nifty sunglasses, a big revolver and a bad temper. Britain didn't like having Leona join the Tank Police in the first place and her wrecking his Tiger Special (a giant green monster tank) doesn't exactly endear her to him, nor is he fond of her taking the remains of his giant tank and using it to build a mini-tank that she nicknames Bonaparte and he is soon pushing to have her transferred to child welfare ""where the boys are more your size"" as he puts it. There's also Specs, the bifocal genius, Bible quoting/God fearing Chaplain, purple MO-hawked Mohican, and the pot bellied Chief, who's right on the edge thanks to the Mayor always yelling at him about the Tank Police antics. Seeing as how the tank cops often destroy half the city while chasing the bad guys and use extreme violence to capture them, they're not very well liked by the people.<br /><br />The ""villains"" are a cyborg named Buaku who's got a mysterious past that's connected with a project known as ""Green Peace"", his gang and his two sexy cat cyborg sidekicks Anna & Uni Puma. In the first installment these guys are being paid to steal urine samples from a hospital treating people who haven't been infected by the poison gas clouds and in the 2nd they're hired to steal a painting that is of a naked Buaku. The story, however, was uncompleted in the anime and was finished up in a cult comic (""Manga"") book that's very hard to find.<br /><br />All sorts of chaos and mayhem ensue in this black comic venture that examines how far people want their police to go in order to catch criminals and what happens when the fine line between good guys and bad guys starts to get blurred. This is the kind of thing that if you were going to make a movie of it, you'd better go get Quentin Tarantino. Uneven in places but still a lot of fun.<br /><br />Followed by ""New Dominion: Tank Police"".",1
"in 1976 i had just moved to the us from ceylon. i was 23, and had been married for a little over three years, and was beginning to come out as a lesbian. i saw this movie on an old black and white TV, with terrible reception, alone, and uninterrupted, in an awakening that seemed like an echo of the story. i was living in a small house in tucson arizona, and it was summertime... like everyone else here, i never forgot the feelings the images of this story called forth, and its residue of fragile magic, and i have treasured a hope that i would see it again someday. i'll keep checking in. i also wish that someone would make a movie of shirley verel's 'the other side of venus'. it also has some of the same delicacy and persistent poignancy...",1
"Like another user I got this cheap - I thought. 85 kroners (£8). Although not worth that amount of money it is a total classic that I - like the other users - first saw when I was a kid and was looking forward to seeing again some 20 years after. The story is amazingly thin (which is why it might have worked for kids), but all the radio language and trucker stuff makes up for it. It'll look good on my DVD shelf in years to come. First viewing (1980): 10/10. Second viewing (2002): 4/10",0
"Although this film never attained commercial notoriety, my experience has led me to conclude that many well-done pieces of artistic expression often do not gain mass appeal. The story line depicts a young boy stealing a car and embarking on a surreal, dream-like adventure with very little basis in our conceptualization of time and space. Therefore, anyone who attempts to view this film from the perspective of its conformity to reality will likely be disappointed; it is not intended to be ""realistic."" It is, however, intended to be metaphoric with extensive symbolism apparent to those with superb attention to detail. In addition, the symbolic representations are left open for interpretation, which can be said of much great artwork. Don't be fooled by the cover (if you happen to rent or buy this film)-- the movie is not what it might seem to be on the surface.",1
"We don't have to lose this movie, this is one of the greatest I have ever seen. Jean Pierre Leaud is amazing (more than usual) and the movie is one of the most unforgettable of the nouvelle vogue. Jean Eustache is no more on this earth, we just have this black and white images to remember one of the greatest and most subvalued french directors. You just have to love this masterpiece. I'll never forget it.<br /><br />P.S.: sorry for the english...",1
"Strangler of the Swamp was made by low budget studio PRC and is certainly one of their best movies I've seen.<br /><br />A man who was hanged for a murder he didn't commit returns as a ghost for revenge on the people who accused him. He uses a rope to strangle his victims and after several deaths, including the old man who operates the ferry across the swamp, he disappears. The old man's granddaughter takes over the ferry herself and also falls in love with one of the local men and they decide to get married.<br /><br />This movie has plenty of foggy atmospheres, which makes it very creepy too.<br /><br />The cast includes Rosemary La Planche, Blake Edwards and Charles Middleton (Flash Gordon) as the Strangler.<br /><br />Strangler of the Swamp is a must for old horror fans like myself. Excellent.<br /><br />Rating: 3 and a half stars out of 5.",1
"Well I had the chance to view this film the other day. I didn't know what to expect as I never saw the trailer and such... but what I did discover simply by watching the first 10 minutes is that this film is the worst I have ever had the misfortune to see.<br /><br />I wish I could give it this film a 0 rating. The first 10 minutes were bad but as soon as it goto the party scene I wanted to just enter a coma it was really poorly done. The actors didn't have any direction, there was no real story, I read some reviews that state its good if you have a little child to entertain for 90 minutes etc... but really why should we expose children to this type of film? Its got poor humor, rude and crude comedy at best and focuses on poor special effects to fill 80% of its time. I am sure a few people in Hollywood will be out on the streets after this film bombs.<br /><br />Also How can 39 people give this movie a 10. I mean get real anyone that gives this movie a 10 either has some mental issue and or works for the film company. This movie should average at 1.5/10 instead of its current 2.3/10 due to the people that ranked it 10. Truly sad.",0
"The men can slaver over Lollo, if they like (or her lollos--she gave her name to a slang terms for breasts in French), but the ladies have an even tastier morsel in the divine Gerard Philipe, who is not only beautiful but can act. Don't be deterred if your version has no subtitles because in this simple, dashing story of love and war, in which all is fair, they are not needed. All you need know is that, at the beginning of the film, Lollobrigida reads Philipe's palm and tells him he will marry the daughter of the king. Thereafter the story is quite plain from the Gallic gestures and the running, jumping, and swordplay.<br /><br />On the minus side, the obviousness of the story and the heavy-handed facetiousness of the tone become somewhat wearying, and it is annoying that the French apparently consider themselves too superior to Hollywood to bother even attempting the plausibility of its exciting stunts. And of course the non-French-speaker misses the occasional bit of ooh-la-la, such as: Virtuous girl: I must tell you that my heart belongs to Fanfan. Seducer: My dear, what made you think I was interested in that bagatelle?",1
"The idea is nice. Bringing so many stars in one movie is great. But.... too many stories, too short and lacking really any sense. No connection between the scenes. There were some 3-4 brilliant stories... but these were out of 18. The frame reminded me of ""All the invisible children"" - a movie which I liked a lot. Compared to it, however, ""Paris Je T'Aime"" lacks the intriguing short story, which develops - starts and has its end. And it lacks the topic connecting all those - children. I do not find Paris enough of a topic to connect 18 short sketches together.Perhaps for people who know Paris it is interesting. Otherwise, I wouldn't recommend it...",0
"Well, I like to watch bad horror B-Movies, cause I think it's interesting to see stupidity and unability of creators to shoot seriously good movie. (I always compare this movies to - for example - some Spielberg's works and again-and-again don't understand the huge difference in what I see.) I like Ed Wood's movies cause it's so inept it's very funny. But people!!! ""The Chilling"" is not funny and is not even ""interesting"". It's EXTREMELY BORING horror movie without ANYTHING what makes even bad movies watchable. There's no acting, no screenplay, no direction, no thrills and not even blood. It's extremely inept amateurish film. It's definitely the WORST movie I had ever seen (and I had seen a lot of ""worst movies"" - believe me). I warned you !!! 1/10",0
"'Volcano' is a B-movie at best, and at worst is more of a disaster that what it's supposed to be depicting. To be fair, you have to be prepared in any movie to suspend disbelief for one major concept. 'Volcano' asks you to suspend disbelief in science, human interaction, and common sense.<br /><br />Tommy Lee Jones gets to be the studly-yet-1990s-sensitive head honcho of the Office of Emergency Management, and he's fine when he's not stuck with the stupid dialogue the script provides. However, Anne Heche gives a howlingly bad performance as a smart-ass geologist who becomes Roark's love interest (while the city is burning down, natch). Gaby Hoffman goes from Field of Dreams and American President to a turn as a whimpering, needy, and victim-for-life daughter of Jones. Don Cheadle gets to sit in a really coooool office and take Jones's phone calls, doing the job that in reality Roark would and should be doing.<br /><br />Anyway, the movie really starts going downhill when Heche's geology partner gets sucked into a lava vent while they're breaking into the subway lines. It picks up speed when Jones starts suggesting that they use buses to dam the flow of the lava flowing down the street, Heche's geologist (who loves to lecture everyone about The Science Of Geology) being apparently oblivious to the fact that lava is hot and it melts metal, and rock, and a dead bus is unlikely to have much effect. It really starts to suck when the film introduces Rodney King-like racial tension between two bad actors dressed as cops and an angry black man who can't understand why the fire department is busy with this large river of flowing lava. But hey, in the end, the three of them will be working together to build a K-rail dam to stop the lava from eating up his neighborhood, even though the dam is built in the wrong direction and the material used wouldn't stop lava anyway. Besides, K-rails are hardly watertight, but I guess lava wouldn't think to poke its head through the gaps, not when Tommy Lee Jones is glaring at it. Don't even get me started on the stranded-subway-car subplot, where a tunnelful of hot lava is coming down but oddly enough, it's not too hot to attempt a rescue, it's not too smoky to see, and there aren't any poisonous gases so everyone can breathe. This must be LA Lava, or Lava Lite. You know, it eats cars but is eco-friendly.<br /><br />There are moments of sheer camp here that almost make you wonder if this was meant to be a comedy. For instance, the two security guards packing up Hieronymus Bosch paintings have a completely meaningless and farcical conversation about weight, and at the end, no sooner does the little boy Roark/Jones rescued note that everyone looks the same while covered in ash, than a rainstorm breaks out and cleans everyone up -- and then the sun comes out and Heche says something along the lines of, ""aw, shucks, Roark"".<br /><br />'Volcano' almost achieves Battlefield Earth status, but except for Heche no one approaches Travolta-like badness and the technical aspects are handled pretty well. If you are from the LA area as I am, it's kind of funny to think of a lava flow wiping out Wilshire Boulevard. I gave it a three for the effects and the little amount of tension you get from this.",0
"To make any film about the supposed end of the world, there should be some facts & realism 1. We are never told why these people believe this. 2.Location is New Years Eve In Toronto Canada . SO PLEASE SOME ONE TELL ME WHY WAS THEN STILL SHINING AT MIDNIGHT & WHY(based on the costumes) DID IT SEEM LIKE SEPTEMBER<br /><br />3. The acting was in that neo-au-natural style, that needed a director who knew how to do it.<br /><br />4. the individual story pieces were all dreary & without any purpose. I could go on, But I do not want to make this as boring as the film.<br /><br /> rating *1/2 (out of 4) 2 on IMDB scale<br /><br />thank you I am as always<br /><br /> JAY HARRIS (aka)SIRBOSSMAN",0
"We went to the cinema expecting a biggish budget release and got an art-house movie. The movie was projected digitally onto about two thirds of the screen real estate with sloping edges classic of digital projection, and had a limited stereo soundtrack which was wasted on the cinema experience.<br /><br />The content of the film was the same old historical content we have all seen before, but heavily sanitized to prevent the audience being sick. Live action scenes what little of them there were, were re-used constantly in classic documentary style, which became annoying after a while.<br /><br />I was somewhat amazed that only 4 people turned up to watch it, guess the rest knew something we didn't.<br /><br />I suspect the producers made the film to recognize the ninetieth anniversary of Gallipoli. I have to question whether they should have bothered.<br /><br />Seven out of Ten for trying, and out of respect for the ANZAC's.",1
"I had before a feeling of mislike for all Russian films. But, after seeing this film I haven´t. This is a unique masterpiece made by the best director ever lived in the USSR. He knows the art of film making, and can use it very well. If you find this movie: buy or copy it!",1
"What an unusual movie.<br /><br />Absolutely no concessions are made to ""Hollywood special effects"" or entertainment. There is no background music, not special effects or enhanced sound.<br /><br />Facial expressions are usually covered by thick beards and the Spanish language is a strange monotonic lilt that sounds the same whether in the midst of a battle or talking around a campfire.<br /><br />I sort of viewed these movies (parts 1 and 2) as an educational experience, not really something to go and get entertained by. Its quite long and in places dull.<br /><br />But I suspect that given the lack of any plot development, I don't think its very educational either.<br /><br />Its also difficult to perceive any story from the movie dialogue - it would be a good idea to read up a little on the history so that you can understand the context of what is happening, since for some reason the director didn't see fit to inform the audience why Che's band was moving around the way they did - as a result there seem to be groups skulking around the woodland for no particular reason and getting shot at.<br /><br />I would have loved to give this movie more stars for somehow generating more empathy with me and developing depth of character, but somehow all of the characters were still strangers to me at the end. The stars it gets are for realism and showing the hardships of guerrilla warfare.",0
"I also saw this at the cinema in the 80s and have never forgotten it, even though I have never seen it again anywhere. <br /><br />I don't know whether if I did see it now it would seem dated, but remembering the storyline and comparing it to some of the terrible modern films I've seen on Zone Horror I should think it would stand up very well.<br /><br />I can still remember his coffin sliding out and opening up and all the dead bodies becoming reanimated, and the blue lightning. Having seen hundreds of horror movies and still remembering this one, it must be good.",1
"It's New Year's eve, a cop-killer (in the form of, Laurence Fishburne) end up at a precinct that's closing down due till snow. When the people are layed siege on, cops have to team up with cons to survive. This re-make of the John Carpenter classic just had to add a few beyond stupid plot twists, take out all the tension, and add a horrid John Lequizamo to the cast, didn't it? The first film was thrilling, gritty, and a joy to watch. This one is more Hollywood, clichéd, and painful to behold. The only thing I took from this movie was OCD can be very annoying...VERY. The ending song is SOOOOOOOOOOOOOOOOO bad.<br /><br />My Grade: D- <br /><br />DVD Extras: Commentary by Richet, Demonaco and Jeffrey Silver; Delet scenes with optional commentary; 5 minute ""Armed and Dangerous"" featurette on the weapons expert; 7 and a half minute ""behind Precinct Walls""; ""Plan of Attack""; ""The Assault Team""; 12 and a half minute behind the scenes featurette;, Trailers for ""Unleashed"", ""White Noise"", :Seed of Chucky"" <br /><br />Miscelanious: I got this at Best Buy and it came with a bonus disc including the first 2 minutes of ""Cry Wolf""; a 10 minute first look at ""Unleashed""; the trailer for that film; and a Fuzion interview with John Leguizamo",0
"""Some day, we'll walk in the rays of a beautiful sun. Some day, when the world is much brighter""- The 5 Stairsteps ""O-o-h Child""<br /><br />Movies about Black teenagers usually involve inner city gangs dealing drugs or committing violence to a hip-hop soundtrack. Films about the everyday problems of ordinary inner city teens are hard to find, yet there is an undiscovered gem that I would like to recommend. Our Song, by Jim McKay is about three girls in the Crown Heights section of Brooklyn who learn that their high school will be closed for asbestos removal and must decide on their future direction, one that may involve going their separate ways. The story is told from the point of view of a 15-year old, not from an adult reminiscing about the past as in most coming of age movies. Avoiding the mandatory street slang and excessive use of F-words, it delivers an honest and loving portrait of three friends at a crossroads in their life. The girls: Lanisha (Kerry Washington), Joycelyn (Anna Simpson), and Maria (Melissa Martinez) are in their sophomore year at the local high school. They are active members of the Jackie Robinson Steppers, a real-life marching band whose rehearsals for a Labor Day parade provide discipline and purpose to their lives. <br /><br />Similar to David Gordon Green's George Washington but less stylized, the film showcases non-professional black and Latino actors with Kerry Washington as the standout. While the performances have some amateurish moments, I became so involved with the story that I forgot the girls were even acting. Maria, whose father is in jail, has learned that she is pregnant by Terrell, a local student. She wants to have the baby in spite of the fact that she is only 15 and knows that Terrell is probably not going to be of much help. Joycelyn works in an up-scale dress shop but dreams about becoming a singer. In a very poignant scene in her bedroom, she pretends to be talking to her fans, then lies down in bed to recite one of her poems. She is close to Lanisha and Maria at the beginning but drifts off to make friends outside of the neighborhood. None of the girls receive much support at home and Maria is too afraid to even tell her mother about her baby. Yet, the single moms are not typical movie deadbeats or alcoholics. They are warm and loving parents whose time with their children is limited because of the pressure of supporting the family. <br /><br />Lanisha's parents are divorced but she is able to visit her father, a doorman in a luxury apartment building and talk about music. Her mother is comforting when Lanisha learns that a friend in the neighborhood has committed suicide, a somewhat melodramatic plot point in an otherwise realistic film. As the summer winds down, the girls drift apart and each decides on a different course. There are no big dramatic moments, however, only the sad recognition of the inevitability of change. Though we do not have blinders on about the frustrations that may await them, we identify with their hopes and dreams without dwelling on the negative. Our Song is an emotionally satisfying film about growing up in the projects that refuses to see life in any terms other than possibility.",1
"This movie has everything that makes a bad movie worth watching - sloppy editing, little to no continuity, insane dialog, bad (you might even say non-existent) acting, pointless story lines, shots that go on FAR too long...and it's perfect for MST3K-style riffing, not to mention the ""Corpse Eaters Drinking Game"": Scribble on forms...take a shot - Sign your name...take a shot - Catch a bad Foley edit...take many, many shots.<br /><br />The only reason I didn't rate it higher than 8 is because there's not enough gratuitous nudity and because despite its insane badness, it's only an hour long - hell, a movie like this should have been at least 20-30 minutes longer!",1
"I sell the dead revolves around convicted grave robber Arthur Blake. Blake's friend and fellow grave robber Willie Grimes has just been executed and Blake is going to follow suit the next morning. While he sits in his cell awaiting his execution a priest named Father Duffy comes in and asks him if he will tell all he has seen as a grave robber. He then proceeds to give Father Duffy a quasi biography of his more interesting exploits.<br /><br />The plot pretty much consists of several incidents only tied together by chronology. This prevents the viewer from ever getting bored but it also makes the events less significant as you could easily add or remove a lot of scenes without noticing it much. Though flawed, I thought overall this method added to the fun loving nature of the film and kept it very entertaining. Most of the various stories are good, specifically the alien, the Murphy's and the vampire, but others weren't so great.<br /><br />The acting isn't amazing but I didn't find it bad at any point. Dominic Monaghan had a good performance as he managed to be serious when it mattered and also play very well into the comedic parts of the film.<br /><br />The characters were not extremely in-depth, but they were all interesting. I also enjoyed how a number of the villains were done in a over-the-top almost comic book manner. The part with the back story of the Murphy's and their gang is priceless.<br /><br />So overall, I Sell the Dead very successfully combines horror, comedy and sci-fi into a mish mash of fun and excitement. It is one of the more interesting and original movies I have seen in a while, and it's unfortunate that independent films like this don't get more recognition.",1
"Worst.film.ever Nothing more needs to be said. Aaron Carter is utterly repellent and the rest of the cast should fire their agents immediately. It really is a terrible terrible movie from beginning to end. I wish I could be more eloquent in describing the movies many (oh so many) flaws however I cant be bothered/get too angry to form proper sentences. <br /><br />In short I absolutely hated everything about this movie and not in ""so bad its good"" kinda way...<br /><br />It was unadulterated drek.<br /><br />Gavin",0
"Why didn't critics like this movie?? I don't get it. This is easily my favorite Clive Barker effort. ""Hellraiser"" is a bit too rough around the edges (the film just never leaves that stupid house) and, lets face it, ""Lord of Illusions"" doesn't move at all!!! I have loved Barker's writing for years, especially his ""Books of Blood"". Terrifically entertaining. He has a vicious side to him that is totally unlike a Stephen King. He freely mixes in his own homosexuality and odd religious and occultic elements. I love love love love it. I also realize , however, that Barker is as much a dark fantasy writer as he is a horror writer. And fantasy just isn't my bag. Puts me right to sleep. Always has. I also think Barker works best with short stories. His novels tend to wander a bit. That was my experience when trying to read ""The Damnation Game"". It started out well. Then 100 pages in I thought ""where is this going?"" because it wasn't going ANYWHERE.<br /><br />I read ""Cabal"" (the book Nightbreed was based on) and thought it was good. I ESPECIALLY like the elaboration on Decker's character. The way the mask talked to him and controlled him. I like the way Barker simply presents it. Black and white. There it is. He gives it a simplicity that's attractive and believable. When asked why Decker kills he says (simply) ""Because I like it"". Probably something Jeffrey Dahmer said at some point.<br /><br />But I actually liked the film Nightbreed better than Cabal. I adore the visual attention to detail that Barker gives to his films. ADORE IT. I think it is just beautiful. Lord of Illusions had some of this as well. Some of the drawings in the beginning, during the Nightbreed credit sequence. It's like an entire vocabulary Barker dreamed up just for the Nightbreed world. I'd be curious to know how much was purely his design. I know he is an AMAZING artist who his own style and language as an artist.<br /><br />Nightbreed is also (I think) BArker's most entertaining film. It moves very quickly. Well edited. It doesn't drag like Lord of Illusions does a little bit. Very quick. Everything in it is just perfect. It also works as a fantastic and scary little slasher movie. The stuff with the killer in the beginning killing the family and later tormenting the old man in the shop is really scary stuff. That mask is frightening. I'd be curious to know if Barker designed that as well. It's not just a hokey Jason or ""Scream""-type mask. Something about it is really disturbing.<br /><br />Anyway, this is a great flick. Definitely check it out if you haven't seen it. Highly recommended. One of my favorite horror films of all time. In my opinion Clive BArker's best. It IS scary and violent though, be warned",1
"1st watched 6/18/2009  2 out of 10 (Dir- Pete Riski): Weird psychotic movie about a girl with autism who is being tested in a hospital, the power flickers, and then all hell breaks loose. I'm honestly not sure what the intentions were of the filmmakers on this one. What we get for the next 1 hour and a half(at least it wasn't longer) was a twisted horror/twilight zone/zombiefest/ghost movie that really ended up making no sense at all even to the very end. Initially, after the power goes out, everyone is missing in the hospital except for a small group of misfits including the girl and his father. There is the typical annoying character, a creepy old man, and the typical tough guy similar to many scarefests and, of course, the young girl the main character gets attracted to. Random stuff starts happening at various times like ghosts and monsters appearing, a hinting that time has stopped, and dead people as this small group try to escape whatever they're in. Of course, the autistic girl is the center of everything somehow and I really hate how they used this girl's affliction and insinuated that she was the cause and to place it in a hospital where people are cared for is really lame. We never really find out the answer to what was going onwhich is very strange, so please avoid this dog. Unless you want to be creeped out and confused for one hour and a half this is not for you or any moviegoer. What a waste of timereally!!",0
"Masterpiece. Carrot Top blows the screen away. Never has one movie captured the essence of the human spirit quite like ""Chairman of the Board."" 10/10... don't miss this instant classic.",0
